Код ТН ВЭД,Наименование позиции,Доп. ед. изм.,Ставка ввозной таможенной пошлины *
303990004,"– – – [с 01.01.22] ставриды обыкновенной (Trachurus trachurus, Caranx trachurus); рыбы рода Euthynnus, кроме тунца полосатого (скипджека, полосатого бонито) (Katsuwonus pelamis)/[по 31.12.21] ставриды обыкновенной (Trachurus trachurus, Caranx trachurus); рыбы рода Euthynnus, кроме скипджека, или тунца полосатого (Euthynnus (Katsuwonus) pelamis)",-,
303990005,– – – окуня морского (Sebastes spp.),-,
303990006,"– – – палтуса тихоокеанского (Hippoglossus stenolepis); меч-рыбы (Xiphias gladius); трески (Gadus morhua, Gadus ogac, Gadus macrocephalus); пикши (Melanogrammus aeglefinus); сайды (Pollachius virens); лаврака (Dicentrarchus spp.)",-,"0,05"
303990007,"– – – [с 01.01.22] угря (Anguilla spp.); камбалообразных (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae, кроме видов Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis, Solea spp., Pelotreis flavilatus, Peltorhamphus novaezealandiae); тунца полосатого (скипджека, полосатого бонито) (Katsuwonus pelamis); тунцов (рода Thunnus, кроме видов Thunnus alalunga, Thunnus albacares); минтая (Theragra chalcogramma); путассу южной (Micromesistius australis); рыбы вида Boreogadus saida; сайды серебристой (Pollachius pollachius); макруронуса новозеландского (Macruronus novaezealandiae); мольвы (Molva spp.); рыбы вида Orcynopsis unicolor; анчоусов (Engraulis spp.); карася морского (Dentex dentex и Pagellus spp.); леща морского обыкновенного (Brama spp.); удильщика (Lophius spp.); конгрио черного (Genypterus blacodes)/[по 31.12.21] угря (Anguilla spp.); камбалообразных (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae, кроме видов Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis, Solea spp., Pelotreis flavilatus, Peltorhamphus novaezealandiae); скипджека, или тунца полосатого (Euthynnus (Katsuwonus) pelamis); тунцов (рода Thunnus,",-,"0,08"
303990008,"– – – палтуса черного, или палтуса синекорого (Reinhardtius hippoglossoides)",-,"0,04"
303990009,– – – прочие,-,"0,06"
304,"Филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые",,
30430,"– [с 01.01.17] филе свежее или охлажденное тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)/[по 31.12.16] филе свежее или охлажденное тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)",,
304310000,– – тилапии (Oreochromis spp.),-,"0,06"
304320000,"– – сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",-,"0,06"
304330000,– – латеса нильского (Lates niloticus),-,"0,06"
304390000,– – прочее,-,"0,06"
30440,"– филе прочей рыбы, свежее или охлажденное",,
304410000,"– – лосося тихоокеанского (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus), лосося атлантического (Salmo salar) и лосося дунайского (Hucho hucho)",-,"0,04"
304420000,"– – форели (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache и Oncorhynchus chrysogaster)",,
304421000,"– – – вида Oncorhynchus mykiss, массой более 400 г каждое",-,"0,04"
304425000,– – – видов Oncorhynchus apache и Oncorhynchus chrysogaster,-,"0,06"
304429000,– – – прочее,-,"0,04"
304430000,"– – камбалообразных (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae)",-,"0,05"
304440000,"– – рыбы семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae",,
304441000,"– – – трески (Gadus morhua, Gadus ogac, Gadus macrocephalus) и рыбы вида Boreogadus saida",-,"0,05"
304443000,– – – сайды (Pollachius virens),-,"0,06"
304449000,– – – прочее,-,"0,05"
304450000,– – меч-рыбы (Xiphias gladius),-,"0,05"
304460000,– – клыкача (Dissostichus spp.),-,"0,05"
304470000,– – акул,-,"0,05"
304480000,– – скатов и ромбовых скатов (Rajidae),-,"0,05"
304490000,– – прочее,,
304491000,– – – пресноводной рыбы,,
304491010,– – – – осетровых,-,"0,06"
304491080,– – – – прочее,-,"0,06"
304495000,– – – прочее,,
304495000,– – – – окуня морского (Sebastes spp.),-,"0,06"
304498000,– – – – прочее,-,"0,05"
30450,"– прочее, свежее или охлажденное",,
304510000,"– – [с 01.01.17] тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)/[по 31.12.16] тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)",-,"0,06"
304520000,– – лососевых,-,"0,06"
304530000,"– – рыбы семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae",-,"0,06"
304540000,– – меч-рыбы (Xiphias gladius),-,"0,06"
304550000,– – клыкача (Dissostichus spp.),-,"0,06"
304560000,– – акул,-,"0,06"
304570000,– – скатов и ромбовых скатов (Rajidae),-,"0,06"
304590000,– – прочее,,
304592000,– – – пресноводной рыбы,-,"0,06"
304595000,– – – прочее,,
304595000,– – – – кусочки сельди,-,"0,05"
304598000,– – – – прочее,-,"0,06"
30460,"– [с 01.01.17] филе мороженое тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)/[по 31.12.16] филе мороженое тилапии (Oreochromis spp.), сома (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карпа (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угря (Anguilla spp.), латеса нильского (Lates niloticus) и змееголова (Channa spp.)",,
